
===== Training xlm-roberta-base seed 0 on CoNLL-2012 SRL =====
{'loss': 1.3279, 'grad_norm': 5.689585208892822, 'learning_rate': 1.9832198402690208e-05, 'epoch': 0.04}
{'loss': 0.1893, 'grad_norm': 3.732800245285034, 'learning_rate': 1.2097856242118538e-05, 'epoch': 1.98}
{'eval_loss': 0.23319856822490692, 'eval_runtime': 44.3599, 'eval_samples_per_second': 542.427, 'eval_steps_per_second': 33.904, 'epoch': 2.0}
{'loss': 0.1762, 'grad_norm': 3.109927177429199, 'learning_rate': 1.1929718369062633e-05, 'epoch': 2.02}
{'loss': 0.1595, 'grad_norm': 1.601711392402649, 'learning_rate': 1.1761580496006725e-05, 'epoch': 2.06}
{'loss': 0.1544, 'grad_norm': 13.319549560546875, 'learning_rate': 1.1593442622950821e-05, 'epoch': 2.1}
{'loss': 0.1562, 'grad_norm': 5.126399993896484, 'learning_rate': 1.1425304749894914e-05, 'epoch': 2.14}
{'loss': 0.1489, 'grad_norm': 10.478118896484375, 'learning_rate': 1.125716687683901e-05, 'epoch': 2.19}
{'loss': 0.1613, 'grad_norm': 11.323446273803711, 'learning_rate': 1.1089029003783103e-05, 'epoch': 2.23}
{'loss': 0.1542, 'grad_norm': 12.828099250793457, 'learning_rate': 1.0920891130727199e-05, 'epoch': 2.27}
{'loss': 0.1536, 'grad_norm': 3.2759475708007812, 'learning_rate': 1.0752753257671291e-05, 'epoch': 2.31}
{'loss': 0.1523, 'grad_norm': 3.652941942214966, 'learning_rate': 1.0584615384615386e-05, 'epoch': 2.35}
{'loss': 0.1668, 'grad_norm': 2.782543897628784, 'learning_rate': 1.041647751155948e-05, 'epoch': 2.4}
{'loss': 0.1504, 'grad_norm': 1.4624967575073242, 'learning_rate': 1.0248339638503573e-05, 'epoch': 2.44}
{'loss': 0.148, 'grad_norm': 1.9590888023376465, 'learning_rate': 1.0080201765447669e-05, 'epoch': 2.48}
{'loss': 0.1513, 'grad_norm': 2.403942108154297, 'learning_rate': 9.912063892391761e-06, 'epoch': 2.52}
{'loss': 0.1583, 'grad_norm': 7.172779083251953, 'learning_rate': 9.743926019335856e-06, 'epoch': 2.56}
{'loss': 0.147, 'grad_norm': 2.0524637699127197, 'learning_rate': 9.57578814627995e-06, 'epoch': 2.61}
{'loss': 0.1505, 'grad_norm': 7.6152262687683105, 'learning_rate': 9.407650273224045e-06, 'epoch': 2.65}
{'loss': 0.1495, 'grad_norm': 5.0150933265686035, 'learning_rate': 9.239512400168139e-06, 'epoch': 2.69}
{'loss': 0.1497, 'grad_norm': 1.0957672595977783, 'learning_rate': 9.071374527112233e-06, 'epoch': 2.73}
{'loss': 0.1459, 'grad_norm': 3.7173779010772705, 'learning_rate': 8.903236654056326e-06, 'epoch': 2.77}
{'loss': 0.1465, 'grad_norm': 2.357937812805176, 'learning_rate': 8.73509878100042e-06, 'epoch': 2.82}
{'loss': 0.1454, 'grad_norm': 1.6993448734283447, 'learning_rate': 8.566960907944515e-06, 'epoch': 2.86}
{'loss': 0.1647, 'grad_norm': 3.80674147605896, 'learning_rate': 8.398823034888609e-06, 'epoch': 2.9}
{'loss': 0.1474, 'grad_norm': 6.4403181076049805, 'learning_rate': 8.230685161832703e-06, 'epoch': 2.94}
{'loss': 0.1514, 'grad_norm': 1.443131685256958, 'learning_rate': 8.062547288776798e-06, 'epoch': 2.98}
{'eval_loss': 0.23610951006412506, 'eval_runtime': 45.1304, 'eval_samples_per_second': 533.167, 'eval_steps_per_second': 33.326, 'epoch': 3.0}
{'loss': 0.1327, 'grad_norm': 6.080414295196533, 'learning_rate': 7.894409415720892e-06, 'epoch': 3.03}
{'loss': 0.1129, 'grad_norm': 1.2243666648864746, 'learning_rate': 7.726271542664986e-06, 'epoch': 3.07}
{'loss': 0.1159, 'grad_norm': 19.95426368713379, 'learning_rate': 7.55813366960908e-06, 'epoch': 3.11}
{'loss': 0.1241, 'grad_norm': 1.1710782051086426, 'learning_rate': 7.389995796553174e-06, 'epoch': 3.15}
{'loss': 0.1214, 'grad_norm': 2.2424840927124023, 'learning_rate': 7.221857923497269e-06, 'epoch': 3.19}
{'loss': 0.1192, 'grad_norm': 3.846684455871582, 'learning_rate': 7.053720050441363e-06, 'epoch': 3.24}
{'loss': 0.1189, 'grad_norm': 3.333005666732788, 'learning_rate': 6.885582177385457e-06, 'epoch': 3.28}
{'loss': 0.1289, 'grad_norm': 9.174863815307617, 'learning_rate': 6.717444304329551e-06, 'epoch': 3.32}
{'loss': 0.1227, 'grad_norm': 4.521120548248291, 'learning_rate': 6.549306431273645e-06, 'epoch': 3.36}
{'loss': 0.1199, 'grad_norm': 5.202917575836182, 'learning_rate': 6.38116855821774e-06, 'epoch': 3.4}
{'loss': 0.1175, 'grad_norm': 5.6825737953186035, 'learning_rate': 6.213030685161832e-06, 'epoch': 3.45}
{'loss': 0.1121, 'grad_norm': 3.426753044128418, 'learning_rate': 6.044892812105927e-06, 'epoch': 3.49}
{'loss': 0.113, 'grad_norm': 2.290837526321411, 'learning_rate': 5.876754939050021e-06, 'epoch': 3.53}
{'loss': 0.1147, 'grad_norm': 6.792355060577393, 'learning_rate': 5.708617065994115e-06, 'epoch': 3.57}
{'loss': 0.1231, 'grad_norm': 3.304675579071045, 'learning_rate': 5.54047919293821e-06, 'epoch': 3.61}
{'loss': 0.112, 'grad_norm': 1.6734974384307861, 'learning_rate': 5.372341319882304e-06, 'epoch': 3.66}
{'loss': 0.1178, 'grad_norm': 6.671471118927002, 'learning_rate': 5.204203446826398e-06, 'epoch': 3.7}
{'loss': 0.1227, 'grad_norm': 12.93568229675293, 'learning_rate': 5.036065573770492e-06, 'epoch': 3.74}
{'loss': 0.1185, 'grad_norm': 5.2862324714660645, 'learning_rate': 4.867927700714586e-06, 'epoch': 3.78}
{'loss': 0.1206, 'grad_norm': 1.588291049003601, 'learning_rate': 4.699789827658681e-06, 'epoch': 3.83}
{'loss': 0.1214, 'grad_norm': 4.32915735244751, 'learning_rate': 4.531651954602775e-06, 'epoch': 3.87}
{'loss': 0.1095, 'grad_norm': 1.7888715267181396, 'learning_rate': 4.363514081546869e-06, 'epoch': 3.91}
{'loss': 0.1164, 'grad_norm': 3.719005823135376, 'learning_rate': 4.195376208490963e-06, 'epoch': 3.95}
{'loss': 0.1141, 'grad_norm': 13.61176586151123, 'learning_rate': 4.027238335435057e-06, 'epoch': 3.99}
{'eval_loss': 0.2500724792480469, 'eval_runtime': 45.5935, 'eval_samples_per_second': 527.75, 'eval_steps_per_second': 32.987, 'epoch': 4.0}
{'loss': 0.0961, 'grad_norm': 3.602405071258545, 'learning_rate': 3.859100462379151e-06, 'epoch': 4.04}
{'loss': 0.0937, 'grad_norm': 0.8175778388977051, 'learning_rate': 3.690962589323245e-06, 'epoch': 4.08}
{'loss': 0.0967, 'grad_norm': 24.638103485107422, 'learning_rate': 3.5228247162673395e-06, 'epoch': 4.12}
{'loss': 0.0982, 'grad_norm': 5.798051357269287, 'learning_rate': 3.354686843211434e-06, 'epoch': 4.16}
{'loss': 0.09, 'grad_norm': 20.393516540527344, 'learning_rate': 3.186548970155528e-06, 'epoch': 4.2}
{'loss': 0.0889, 'grad_norm': 6.6941375732421875, 'learning_rate': 3.018411097099622e-06, 'epoch': 4.25}
{'loss': 0.0951, 'grad_norm': 22.658123016357422, 'learning_rate': 2.8502732240437157e-06, 'epoch': 4.29}
{'loss': 0.09, 'grad_norm': 9.840775489807129, 'learning_rate': 2.68213535098781e-06, 'epoch': 4.33}
{'loss': 0.0905, 'grad_norm': 7.149003028869629, 'learning_rate': 2.5139974779319044e-06, 'epoch': 4.37}
{'loss': 0.0956, 'grad_norm': 8.280344009399414, 'learning_rate': 2.3458596048759984e-06, 'epoch': 4.41}
{'loss': 0.0943, 'grad_norm': 3.626237154006958, 'learning_rate': 2.1777217318200927e-06, 'epoch': 4.46}
{'loss': 0.0921, 'grad_norm': 8.044291496276855, 'learning_rate': 2.009583858764187e-06, 'epoch': 4.5}
{'loss': 0.0986, 'grad_norm': 2.183319330215454, 'learning_rate': 1.8414459857082808e-06, 'epoch': 4.54}
{'loss': 0.0896, 'grad_norm': 12.335135459899902, 'learning_rate': 1.6733081126523752e-06, 'epoch': 4.58}
{'loss': 0.0959, 'grad_norm': 11.27263069152832, 'learning_rate': 1.5051702395964693e-06, 'epoch': 4.62}
{'loss': 0.0894, 'grad_norm': 16.33710479736328, 'learning_rate': 1.3370323665405635e-06, 'epoch': 4.67}
{'loss': 0.093, 'grad_norm': 4.192627906799316, 'learning_rate': 1.1688944934846576e-06, 'epoch': 4.71}
{'loss': 0.0903, 'grad_norm': 4.796141147613525, 'learning_rate': 1.0007566204287518e-06, 'epoch': 4.75}
{'loss': 0.094, 'grad_norm': 5.425143718719482, 'learning_rate': 8.326187473728459e-07, 'epoch': 4.79}
{'loss': 0.0992, 'grad_norm': 5.708808422088623, 'learning_rate': 6.6448087431694e-07, 'epoch': 4.83}
{'loss': 0.0947, 'grad_norm': 20.157390594482422, 'learning_rate': 4.963430012610341e-07, 'epoch': 4.88}
{'loss': 0.1018, 'grad_norm': 5.654773712158203, 'learning_rate': 3.2820512820512825e-07, 'epoch': 4.92}
{'loss': 0.0947, 'grad_norm': 17.408981323242188, 'learning_rate': 1.6006725514922238e-07, 'epoch': 4.96}
{'eval_loss': 0.2617723345756531, 'eval_runtime': 45.288, 'eval_samples_per_second': 531.31, 'eval_steps_per_second': 33.21, 'epoch': 5.0}
{'train_runtime': 7713.5912, 'train_samples_per_second': 123.363, 'train_steps_per_second': 7.71, 'train_loss': 0.18641612004411978, 'epoch': 5.0}
Precision: 0.8803, Recall: 0.9021, F1: 0.8911

SRL finished


===== Training xlm-roberta-base seed 1 on CoNLL-2012 SRL =====
{'loss': 1.3463, 'grad_norm': 5.608746528625488, 'learning_rate': 1.9832198402690208e-05, 'epoch': 0.04}
{'loss': 0.6187, 'grad_norm': 3.0401415824890137, 'learning_rate': 1.96640605296343e-05, 'epoch': 0.08}
{'loss': 0.4649, 'grad_norm': 7.311955451965332, 'learning_rate': 1.9495922656578396e-05, 'epoch': 0.13}
{'loss': 0.4175, 'grad_norm': 9.376436233520508, 'learning_rate': 1.932778478352249e-05, 'epoch': 0.17}
{'loss': 0.3838, 'grad_norm': 9.805818557739258, 'learning_rate': 1.9159646910466585e-05, 'epoch': 0.21}
{'loss': 0.3651, 'grad_norm': 7.6055779457092285, 'learning_rate': 1.8991509037410678e-05, 'epoch': 0.25}
{'loss': 0.3477, 'grad_norm': 4.532005310058594, 'learning_rate': 1.8823371164354774e-05, 'epoch': 0.29}
{'loss': 0.3383, 'grad_norm': 10.892190933227539, 'learning_rate': 1.8655233291298867e-05, 'epoch': 0.34}
{'loss': 0.3213, 'grad_norm': 3.047894239425659, 'learning_rate': 1.8487095418242963e-05, 'epoch': 0.38}
{'loss': 0.3015, 'grad_norm': 12.134343147277832, 'learning_rate': 1.8318957545187055e-05, 'epoch': 0.42}
{'loss': 0.3066, 'grad_norm': 3.3134117126464844, 'learning_rate': 1.8150819672131148e-05, 'epoch': 0.46}
{'loss': 0.3023, 'grad_norm': 6.341944694519043, 'learning_rate': 1.7982681799075244e-05, 'epoch': 0.5}
{'loss': 0.3132, 'grad_norm': 8.609298706054688, 'learning_rate': 1.7814543926019337e-05, 'epoch': 0.55}
{'loss': 0.2869, 'grad_norm': 10.003814697265625, 'learning_rate': 1.7646406052963433e-05, 'epoch': 0.59}
{'loss': 0.2923, 'grad_norm': 9.636048316955566, 'learning_rate': 1.7478268179907525e-05, 'epoch': 0.63}
{'loss': 0.2686, 'grad_norm': 25.48817253112793, 'learning_rate': 1.731013030685162e-05, 'epoch': 0.67}
{'loss': 0.2859, 'grad_norm': 6.739514350891113, 'learning_rate': 1.7141992433795714e-05, 'epoch': 0.71}
{'loss': 0.2616, 'grad_norm': 28.02631187438965, 'learning_rate': 1.697385456073981e-05, 'epoch': 0.76}
{'loss': 0.274, 'grad_norm': 3.073701858520508, 'learning_rate': 1.6805716687683903e-05, 'epoch': 0.8}
{'loss': 0.2681, 'grad_norm': 13.288787841796875, 'learning_rate': 1.6637578814627995e-05, 'epoch': 0.84}
{'loss': 0.2667, 'grad_norm': 9.556126594543457, 'learning_rate': 1.646944094157209e-05, 'epoch': 0.88}
{'loss': 0.2562, 'grad_norm': 8.53122615814209, 'learning_rate': 1.6301303068516184e-05, 'epoch': 0.92}
{'loss': 0.2613, 'grad_norm': 5.326374053955078, 'learning_rate': 1.613316519546028e-05, 'epoch': 0.97}
{'eval_loss': 0.25544917583465576, 'eval_runtime': 45.3069, 'eval_samples_per_second': 531.089, 'eval_steps_per_second': 33.196, 'epoch': 1.0}
{'loss': 0.2433, 'grad_norm': 5.153348445892334, 'learning_rate': 1.5965027322404373e-05, 'epoch': 1.01}
{'loss': 0.2114, 'grad_norm': 7.653841018676758, 'learning_rate': 1.5796889449348466e-05, 'epoch': 1.05}
{'loss': 0.2185, 'grad_norm': 7.625359058380127, 'learning_rate': 1.562875157629256e-05, 'epoch': 1.09}
{'loss': 0.2055, 'grad_norm': 25.228679656982422, 'learning_rate': 1.5460613703236654e-05, 'epoch': 1.13}
{'loss': 0.2135, 'grad_norm': 6.010059356689453, 'learning_rate': 1.5292475830180747e-05, 'epoch': 1.18}
{'loss': 0.2155, 'grad_norm': 5.3974809646606445, 'learning_rate': 1.5124337957124843e-05, 'epoch': 1.22}
{'loss': 0.2058, 'grad_norm': 1.905561089515686, 'learning_rate': 1.4956200084068937e-05, 'epoch': 1.26}
{'loss': 0.2116, 'grad_norm': 15.701986312866211, 'learning_rate': 1.4788062211013032e-05, 'epoch': 1.3}
{'loss': 0.216, 'grad_norm': 8.215414047241211, 'learning_rate': 1.4619924337957126e-05, 'epoch': 1.35}
{'loss': 0.206, 'grad_norm': 3.8991429805755615, 'learning_rate': 1.445178646490122e-05, 'epoch': 1.39}
{'loss': 0.2097, 'grad_norm': 8.935836791992188, 'learning_rate': 1.4283648591845313e-05, 'epoch': 1.43}
{'loss': 0.2157, 'grad_norm': 6.809154510498047, 'learning_rate': 1.411551071878941e-05, 'epoch': 1.47}
{'loss': 0.2138, 'grad_norm': 6.076139450073242, 'learning_rate': 1.3947372845733502e-05, 'epoch': 1.51}
{'loss': 0.2062, 'grad_norm': 25.989452362060547, 'learning_rate': 1.3779234972677598e-05, 'epoch': 1.56}
{'loss': 0.2057, 'grad_norm': 4.360163688659668, 'learning_rate': 1.361109709962169e-05, 'epoch': 1.6}
{'loss': 0.2045, 'grad_norm': 3.4568417072296143, 'learning_rate': 1.3442959226565787e-05, 'epoch': 1.64}
{'loss': 0.2, 'grad_norm': 3.458677053451538, 'learning_rate': 1.327482135350988e-05, 'epoch': 1.68}
{'loss': 0.202, 'grad_norm': 11.518232345581055, 'learning_rate': 1.3106683480453974e-05, 'epoch': 1.72}
{'loss': 0.2028, 'grad_norm': 9.609023094177246, 'learning_rate': 1.2938545607398068e-05, 'epoch': 1.77}
{'loss': 0.1994, 'grad_norm': 2.141597270965576, 'learning_rate': 1.277040773434216e-05, 'epoch': 1.81}
{'loss': 0.189, 'grad_norm': 5.296717166900635, 'learning_rate': 1.2602269861286257e-05, 'epoch': 1.85}
{'loss': 0.1995, 'grad_norm': 9.09231948852539, 'learning_rate': 1.243413198823035e-05, 'epoch': 1.89}
{'loss': 0.1998, 'grad_norm': 2.349804401397705, 'learning_rate': 1.2265994115174444e-05, 'epoch': 1.93}
{'loss': 0.1894, 'grad_norm': 5.250843048095703, 'learning_rate': 1.2097856242118538e-05, 'epoch': 1.98}
{'eval_loss': 0.24033145606517792, 'eval_runtime': 45.3945, 'eval_samples_per_second': 530.064, 'eval_steps_per_second': 33.132, 'epoch': 2.0}
{'loss': 0.1794, 'grad_norm': 2.737433910369873, 'learning_rate': 1.1929718369062633e-05, 'epoch': 2.02}
{'loss': 0.1648, 'grad_norm': 3.770305633544922, 'learning_rate': 1.1761580496006725e-05, 'epoch': 2.06}
{'loss': 0.1548, 'grad_norm': 15.370928764343262, 'learning_rate': 1.1593442622950821e-05, 'epoch': 2.1}
{'loss': 0.1609, 'grad_norm': 13.195538520812988, 'learning_rate': 1.1425304749894914e-05, 'epoch': 2.14}
{'loss': 0.1474, 'grad_norm': 14.061437606811523, 'learning_rate': 1.125716687683901e-05, 'epoch': 2.19}
{'loss': 0.1649, 'grad_norm': 8.130167961120605, 'learning_rate': 1.1089029003783103e-05, 'epoch': 2.23}
{'loss': 0.156, 'grad_norm': 8.811263084411621, 'learning_rate': 1.0920891130727199e-05, 'epoch': 2.27}
{'loss': 0.1535, 'grad_norm': 4.22325325012207, 'learning_rate': 1.0752753257671291e-05, 'epoch': 2.31}
{'loss': 0.1598, 'grad_norm': 3.6085453033447266, 'learning_rate': 1.0584615384615386e-05, 'epoch': 2.35}
{'loss': 0.1651, 'grad_norm': 3.7316741943359375, 'learning_rate': 1.041647751155948e-05, 'epoch': 2.4}
{'loss': 0.1549, 'grad_norm': 2.7692201137542725, 'learning_rate': 1.0248339638503573e-05, 'epoch': 2.44}
{'loss': 0.1491, 'grad_norm': 4.126140117645264, 'learning_rate': 1.0080201765447669e-05, 'epoch': 2.48}
{'loss': 0.1541, 'grad_norm': 3.833347797393799, 'learning_rate': 9.912063892391761e-06, 'epoch': 2.52}
{'loss': 0.1589, 'grad_norm': 10.448406219482422, 'learning_rate': 9.743926019335856e-06, 'epoch': 2.56}
{'loss': 0.1486, 'grad_norm': 3.481360912322998, 'learning_rate': 9.57578814627995e-06, 'epoch': 2.61}
{'loss': 0.152, 'grad_norm': 6.861393928527832, 'learning_rate': 9.407650273224045e-06, 'epoch': 2.65}
{'loss': 0.1521, 'grad_norm': 7.050961494445801, 'learning_rate': 9.239512400168139e-06, 'epoch': 2.69}
{'loss': 0.1572, 'grad_norm': 1.1748725175857544, 'learning_rate': 9.071374527112233e-06, 'epoch': 2.73}
{'loss': 0.1528, 'grad_norm': 2.0476858615875244, 'learning_rate': 8.903236654056326e-06, 'epoch': 2.77}
{'loss': 0.1511, 'grad_norm': 3.1462907791137695, 'learning_rate': 8.73509878100042e-06, 'epoch': 2.82}
{'loss': 0.1524, 'grad_norm': 2.794980049133301, 'learning_rate': 8.566960907944515e-06, 'epoch': 2.86}
{'loss': 0.167, 'grad_norm': 5.592217922210693, 'learning_rate': 8.398823034888609e-06, 'epoch': 2.9}
{'loss': 0.151, 'grad_norm': 10.518799781799316, 'learning_rate': 8.230685161832703e-06, 'epoch': 2.94}
{'loss': 0.154, 'grad_norm': 2.3633170127868652, 'learning_rate': 8.062547288776798e-06, 'epoch': 2.98}
{'eval_loss': 0.23895344138145447, 'eval_runtime': 45.3405, 'eval_samples_per_second': 530.695, 'eval_steps_per_second': 33.171, 'epoch': 3.0}
{'loss': 0.1326, 'grad_norm': 2.955935478210449, 'learning_rate': 7.894409415720892e-06, 'epoch': 3.03}
{'loss': 0.1172, 'grad_norm': 4.178313732147217, 'learning_rate': 7.726271542664986e-06, 'epoch': 3.07}
{'loss': 0.1188, 'grad_norm': 2.6540496349334717, 'learning_rate': 7.55813366960908e-06, 'epoch': 3.11}
{'loss': 0.1269, 'grad_norm': 5.5580596923828125, 'learning_rate': 7.389995796553174e-06, 'epoch': 3.15}
{'loss': 0.1246, 'grad_norm': 2.2322094440460205, 'learning_rate': 7.221857923497269e-06, 'epoch': 3.19}
{'loss': 0.1233, 'grad_norm': 4.931158542633057, 'learning_rate': 7.053720050441363e-06, 'epoch': 3.24}
{'loss': 0.1215, 'grad_norm': 3.218012571334839, 'learning_rate': 6.885582177385457e-06, 'epoch': 3.28}
{'loss': 0.1286, 'grad_norm': 1.9927635192871094, 'learning_rate': 6.717444304329551e-06, 'epoch': 3.32}
{'loss': 0.1264, 'grad_norm': 4.405637741088867, 'learning_rate': 6.549306431273645e-06, 'epoch': 3.36}
{'loss': 0.1194, 'grad_norm': 2.8859832286834717, 'learning_rate': 6.38116855821774e-06, 'epoch': 3.4}
{'loss': 0.1215, 'grad_norm': 6.08465576171875, 'learning_rate': 6.213030685161832e-06, 'epoch': 3.45}
{'loss': 0.1161, 'grad_norm': 3.0575387477874756, 'learning_rate': 6.044892812105927e-06, 'epoch': 3.49}
{'loss': 0.1179, 'grad_norm': 1.2278310060501099, 'learning_rate': 5.876754939050021e-06, 'epoch': 3.53}
{'loss': 0.116, 'grad_norm': 5.206887245178223, 'learning_rate': 5.708617065994115e-06, 'epoch': 3.57}
{'loss': 0.1271, 'grad_norm': 3.484393358230591, 'learning_rate': 5.54047919293821e-06, 'epoch': 3.61}
{'loss': 0.1155, 'grad_norm': 3.3893020153045654, 'learning_rate': 5.372341319882304e-06, 'epoch': 3.66}
{'loss': 0.1245, 'grad_norm': 3.5101191997528076, 'learning_rate': 5.204203446826398e-06, 'epoch': 3.7}
{'loss': 0.1234, 'grad_norm': 10.722229957580566, 'learning_rate': 5.036065573770492e-06, 'epoch': 3.74}
{'loss': 0.1206, 'grad_norm': 2.2085134983062744, 'learning_rate': 4.867927700714586e-06, 'epoch': 3.78}
{'loss': 0.1235, 'grad_norm': 1.0764151811599731, 'learning_rate': 4.699789827658681e-06, 'epoch': 3.83}
{'loss': 0.1225, 'grad_norm': 4.237105369567871, 'learning_rate': 4.531651954602775e-06, 'epoch': 3.87}
{'loss': 0.1129, 'grad_norm': 2.2089927196502686, 'learning_rate': 4.363514081546869e-06, 'epoch': 3.91}
{'loss': 0.121, 'grad_norm': 2.378777027130127, 'learning_rate': 4.195376208490963e-06, 'epoch': 3.95}
{'loss': 0.1178, 'grad_norm': 4.068418979644775, 'learning_rate': 4.027238335435057e-06, 'epoch': 3.99}
{'eval_loss': 0.25203123688697815, 'eval_runtime': 45.3742, 'eval_samples_per_second': 530.301, 'eval_steps_per_second': 33.147, 'epoch': 4.0}
{'loss': 0.1004, 'grad_norm': 2.8384792804718018, 'learning_rate': 3.859100462379151e-06, 'epoch': 4.04}
